Division,District,Upazila,Mean_Arsenic,Median_Arsenic,Lower_Quartile_Arsenic,Upper_Quartile_Arsenic,Data_Points,Risk
Khulna,khulna,chuadanga,,,,,,1
barisal,barguna,amtali,,,,,,1
barisal,barguna,bamna,,,,,,1
barisal,barguna,barguna sadar,,,,,,1
barisal,barguna,betagi,,,,,,1
barisal,barguna,patharghata,,,,,,1
barisal,barisal,agailjhara,,,,,,1
barisal,barisal,babuganj,,,,,,1
barisal,barisal,bakerganj,,,,,,1
barisal,barisal,banari para,,,,,,1
barisal,barisal,barisal sadar (kotwali),,,,,,1
barisal,barisal,brslsdr(kotwali,,,,,,1
barisal,barisal,gaurnadi,,,,,,1
barisal,barisal,hizla,,,,,,1
barisal,barisal,mehendiganj,,,,,,1
barisal,barisal,muladi,,,,,,1
barisal,barisal,wazirpur,,,,,,1
barisal,bhola,bhola sadar,,,,,,1
barisal,bhola,burhanuddin,,,,,,1
barisal,bhola,char fasson,,,,,,1
barisal,bhola,daulatkhan,,,,,,1
barisal,bhola,lalmohan,,,,,,1
barisal,bhola,manpura,,,,,,1
barisal,bhola,tazumuddin,,,,,,1
barisal,jhalokati,jhalokati sadar,,,,,,1
barisal,jhalokati,kanthalia,,,,,,1
barisal,jhalokati,nalchity,,,,,,1
barisal,jhalokati,rajapur,,,,,,1
barisal,patuakhali,bauphal,,,,,,1
barisal,patuakhali,dashmina,,,,,,1
barisal,patuakhali,dumki (patuakhali sadar),,,,,,1
barisal,patuakhali,galachipa,,,,,,1
barisal,patuakhali,kala para,,,,,,1
barisal,patuakhali,mirzaganj,,,,,,1
barisal,patuakhali,patuakhali sadar,,,,,,1
barisal,pirojpur,bhandaria,,,,,,1
barisal,pirojpur,kawkhali,,,,,,1
barisal,pirojpur,mathbaria,,,,,,1
barisal,pirojpur,nazirpur,,,,,,1
barisal,pirojpur,nesarabad (swarupkati),,,,,,1
barisal,pirojpur,pirojpur sadar,,,,,,1
barisal,pirojpur,zianagar (pirojpur sadar),,,,,,1
chittagon,chittagong,sitakunda,,,,,,1
chittagong,bandarban,alikadam,,,,,,1
chittagong,bandarban,bandarban sadar,,,,,,1
chittagong,bandarban,lama,,,,,,1
chittagong,bandarban,naikhongchhari,,,,,,1
chittagong,bandarban,rowangchhari,,,,,,1
chittagong,bandarban,ruma,,,,,,1
chittagong,bandarban,thanchi,,,,,,1
chittagong,brahamanbaria,akhaura,,,,,,1
chittagong,brahamanbaria,ashuganj,,,,,,1
chittagong,brahamanbaria,banchharampur,,,,,,1
chittagong,brahamanbaria,bijoynagar,,,,,,1
chittagong,brahamanbaria,brahmanbaria sadar,,,,,,1
chittagong,brahamanbaria,kasba,,,,,,1
chittagong,brahamanbaria,nabinagar,,,,,,1
chittagong,brahamanbaria,nasirnagar,,,,,,1
chittagong,brahamanbaria,sarail,,,,,,1
chittagong,chandpur,chandpur sadar,78.76666667,1.8,1.15,117.9,3,3
chittagong,chandpur,faridganj,,,,,,1
chittagong,chandpur,haim char,,,,,,1
chittagong,chandpur,hajiganj,,,,,,1
chittagong,chandpur,kachua,,,,,,1
chittagong,chandpur,matlab,,,,,,1
chittagong,chandpur,matlab dakshin,,,,,,1
chittagong,chandpur,matlab uttar,,,,,,1
chittagong,chandpur,shahrasti,,,,,,1
chittagong,chittagong,anowara,,,,,,1
chittagong,chittagong,banshkhali,,,,,,1
chittagong,chittagong,boalkhali,,,,,,1
chittagong,chittagong,chandanaish,,,,,,1
chittagong,chittagong,fatikchhari,,,,,,1
chittagong,chittagong,hathazari,,,,,,1
chittagong,chittagong,lohagara,,,,,,1
chittagong,chittagong,mirsharai,,,,,,1
chittagong,chittagong,patiya,,,,,,1
chittagong,chittagong,rangunia,,,,,,1
chittagong,chittagong,raozan,,,,,,1
chittagong,chittagong,sandwip,,,,,,1
chittagong,chittagong,satkania,,,,,,1
chittagong,chittagong,sitakunda,,,,,,1
chittagong,comilla,barura,,,,,,1
chittagong,comilla,brahman para,,,,,,1
chittagong,comilla,burichang,,,,,,1
chittagong,comilla,chandina,,,,,,1
chittagong,comilla,chauddagram,,,,,,1
chittagong,comilla,comilla adarsha sadar,,,,,,1
chittagong,comilla,comilla sadar dakshin,,,,,,1
chittagong,comilla,daudkandi,,,,,,1
chittagong,comilla,debidwar,,,,,,1
chittagong,comilla,homna,,,,,,1
chittagong,comilla,laksam,,,,,,1
chittagong,comilla,manoharganj,,,,,,1
chittagong,comilla,meghna,,,,,,1
chittagong,comilla,muradnagar,,,,,,1
chittagong,comilla,nangalkot,,,,,,1
chittagong,comilla,titas,,,,,,1
chittagong,cox's bazar,chakaria,,,,,,1
chittagong,cox's bazar,cox's bazar sadar,,,,,,1
chittagong,cox's bazar,kutubdia,,,,,,1
chittagong,cox's bazar,maheshkhali,,,,,,1
chittagong,cox's bazar,pekua,,,,,,1
chittagong,cox's bazar,ramu,,,,,,1
chittagong,cox's bazar,teknaf,,,,,,1
chittagong,cox's bazar,ukhia,,,,,,1
chittagong,feni,chhagalnaiya,,,,,,1
chittagong,feni,daganbhuiyan,,,,,,1
chittagong,feni,feni sadar,,,,,,1
chittagong,feni,fulgazi,,,,,,1
chittagong,feni,parshuram,,,,,,1
chittagong,feni,sonagazi,,,,,,1
chittagong,khagrachhari,dighinala,,,,,,1
chittagong,khagrachhari,khagrachhari sadar,,,,,,1
